state_code,place_code,county_code,tract,block_group,State_abbr,county_name,place_name,pop_20,p2b_allocation_factor
8,7850,8013,127.05,4,CO,Boulder CO,"Boulder city, CO",568,0.0052
8,7850,8013,127.05,5,CO,Boulder CO,"Boulder city, CO",768,0.007
8,7850,8013,127.07,1,CO,Boulder CO,"Boulder city, CO",433,0.004
8,7850,8013,127.08,3,CO,Boulder CO,"Boulder city, CO",16,0.0001
8,7850,8013,127.08,4,CO,Boulder CO,"Boulder city, CO",497,0.0046
8,7850,8013,127.08,5,CO,Boulder CO,"Boulder city, CO",530,0.0049
8,7850,8013,127.10,2,CO,Boulder CO,"Boulder city, CO",948,0.0087
8,7850,8013,132.05,1,CO,Boulder CO,"Boulder city, CO",44,0.0004
8,7850,8013,137.04,3,CO,Boulder CO,"Boulder city, CO",8,0.0001
8,7850,8013,137.04,4,CO,Boulder CO,"Boulder city, CO",1479,0.0136
8,7850,8013,126.10,1,CO,Boulder CO,"Boulder city, CO",,
8,7850,8013,132.05,3,CO,Boulder CO,"Boulder city, CO",,
8,7850,8013,127.08,1,CO,Boulder CO,"Boulder city, CO",,
8,7850,8013,127.08,2,CO,Boulder CO,"Boulder city, CO",,
8,7850,8013,127.09,1,CO,Boulder CO,"Boulder city, CO",,
8,7850,8013,127.10,1,CO,Boulder CO,"Boulder city, CO",,
