"GEOID","perc_hs_aid"
"080130121011",0.0149253731343284
"080130121012",0.0262096774193548
"080130121013",0.014957264957265
"080130121014",0.0482315112540193
"080130121031",0.0050761421319797
"080130121032",0.0232558139534884
"080130121033",0.0364238410596026
"080130121041",0.0715596330275229
"080130121042",0.0220264317180617
"080130121051",0.0700280112044818
"080130121052",0.176737160120846
"080130121053",0.0189982728842832
"080130121054",0.0203045685279188
"080130121061",0.0330188679245283
"080130121062",0.0411124546553809
"080130121071",0.124378109452736
"080130121072",0.0140664961636829
"080130121073",0.040133779264214
"080130122011",0.225806451612903
"080130122012",0.0123076923076923
"080130122013",0.00922509225092251
"080130122041",0.0989208633093525
"080130122042",0.0754226267880364
"080130122043",0.100178890876565
"080130122051",0.0102639296187683
"080130122052",0.0703188879803761
"080130122061",0.00892857142857143
"080130122062",0.0303867403314917
"080130122071",0.177105831533477
"080130122072",0.0516332982086407
"080130122073",0.0425531914893617
"080130122081",0.0571705426356589
"080130122082",0.0162162162162162
"080130123001",0.25
"080130123002",0.00894187779433681
"080130124011",0.00775193798449612
"080130124012",0.0199275362318841
"080130124013",0.008
"080130124014",0.0118811881188119
"080130125011",0.0237837837837838
"080130125012",0.0923694779116466
"080130125051",0.0487804878048781
"080130125052",0.0136116152450091
"080130125053",0.00436681222707424
"080130125071",0.0863905325443787
"080130125072",0.0291858678955453
"080130125073",0.00993377483443709
"080130125081",0.0333333333333333
"080130125082",0.0774907749077491
"080130125083",0.0138888888888889
"080130125091",0.0306122448979592
"080130125092",0.0158730158730159
"080130125093",0.0139372822299652
"080130125101",0.0173160173160173
"080130125102",0.0097323600973236
"080130125103",0.0121816168327796
"080130125104",0.00367647058823529
"080130125111",0.0382830626450116
"080130125112",0.0197183098591549
"080130125113",0
"080130126031",0.00669642857142857
"080130126032",0.0111607142857143
"080130126033",0.0144927536231884
"080130126051",0.0225988700564972
"080130126052",0.0106761565836299
"080130126081",0.0526315789473684
"080130126091",0.00818553888130969
"080130126101",0.274092615769712
"080130126102",0.0103092783505155
"080130126103",0.00675675675675676
"080130127013",0.0101596516690856
"080130127014",0.0291806958473625
"080130127051",0.0121212121212121
"080130127052",0.00646551724137931
"080130127053",0.00847457627118644
"080130127054",0.00883838383838384
"080130127055",0.00166944908180301
"080130127071",0.173076923076923
"080130127083",0.00200400801603206
"080130127084",0.0135746606334842
"080130127085",0.00408997955010225
"080130127102",0.0134638922888617
"080130132051",0.00169491525423729
"080130137043",0.00354609929078014
"080130137044",0.0389447236180905
