"GEOID","NAME","percent_post_hs","black","ai_ak","asian","nh_pi","other","2_plus_othr","white","percent_bipoc","percent_h_l","med_income","percent_aid","percent_blw_pov"
"080130121011","Block Group 1, Census Tract 121.01, Boulder County, Colorado",0.832893579595427,0,0,0.0208049589731142,0,0,0,0.923882334285417,0.0761176657145825,0.123638869745003,0.719674744357205,0,0
"080130121012","Block Group 2, Census Tract 121.01, Boulder County, Colorado",0.927252985884908,0,0,0.0519586841135778,0,0,0,0.887906851999831,0.112093148000169,0.0881024096385542,0.79398073564076,0,0.0546388852111744
"080130121013","Block Group 3, Census Tract 121.01, Boulder County, Colorado",0.940318302387268,0.050689920957577,0.0388581536261338,0.0413874355223316,0,0.127175197976383,0,0.894834328019667,0.105165671980333,0.0923224568138196,0.525992470620156,0,0.0158919644855629
"080130121014","Block Group 4, Census Tract 121.01, Boulder County, Colorado",0.934782608695652,0.238352426163336,0,0.0447604368108393,0,0,0,0.891775940005025,0.108224059994975,0,1,0,0.0116187963660888
"080130121031","Block Group 1, Census Tract 121.03, Boulder County, Colorado",0.861454046639232,0,0,0,0,0,0,0.928191667419392,0.0718083325806084,0.120494335736354,0.710712408214486,0,0
"080130121032","Block Group 2, Census Tract 121.03, Boulder County, Colorado",0.734668335419274,0,0,0.107916077155632,0,0,0.0426498056663144,0.812910331527137,0.187089668472863,0.125212464589235,0.463311231324933,0,0.0884101733960091
"080130121033","Block Group 3, Census Tract 121.03, Boulder County, Colorado",0.788201847903341,0,0,0.0411056583197014,0,0.510049199959601,0,0.761693232150433,0.238306767849566,0.322875816993464,0.231837914836609,0.246437480931101,0.173740994105233
"080130121041","Block Group 1, Census Tract 121.04, Boulder County, Colorado",0.808951965065502,0,0.257996001999,0.033944522642416,0.0922038980509745,1,0.135430717243259,0.470359210610002,0.529640789389998,0.528185907046477,0.425893265953298,0.258409785932722,0.158792856319093
"080130121042","Block Group 2, Census Tract 121.04, Boulder County, Colorado",0.935329341317365,0,0,0.120952178589344,0,0,0,0.80158646515718,0.19841353484282,0.0276595744680851,0.549547219725619,0.0832258873249525,0.0282961719131932
"080130121051","Block Group 1, Census Tract 121.05, Boulder County, Colorado",0.625601539942252,0.110964070667637,0,0.0880116486005501,0,0,0,0.364189463344951,0.635810536655049,0.799039615846338,0.248104936492055,0.865956138552982,0.0407437700354867
"080130121052","Block Group 2, Census Tract 121.05, Boulder County, Colorado",0.461910519951632,0.171073352673021,0,0.0663472427911839,0,0.393436469421133,0,0.238604201123163,0.761395798876837,1,0.166668079838559,0.378779505317712,0.0331672376206789
